region,state
south-central-east,Alabama
west-pacific,Alaska
west-mountain,Arizona
south-central-west,Arkansas
west-pacific,California
west-mountain,Colorado
northeast,Connecticut
south-atlantic,Delaware
south-atlantic,District of Columbia
south-atlantic,Florida
south-atlantic,Georgia
west-pacific,Hawaii
west-mountain,Idaho
midwest,Illinois
midwest,Indiana
midwest,Iowa
midwest,Kansas
south-central-east,Kentucky
south-central-west,Louisiana
northeast,Maine
south-atlantic,Maryland
northeast,Massachusetts
midwest,Michigan
midwest,Minnesota
south-central-east,Mississippi
midwest,Missouri
west-mountain,Montana
midwest,Nebraska
west-mountain,Nevada
northeast,New Hampshire
northeast,New Jersey
west-mountain,New Mexico
northeast,New York
south-atlantic,North Carolina
midwest,North Dakota
midwest,Ohio
south-central-west,Oklahoma
west-pacific,Oregon
northeast,Pennsylvania
northeast,Rhode Island
south-atlantic,South Carolina
midwest,South Dakota
south-central-east,Tennessee
south-central-west,Texas
west-mountain,Utah
northeast,Vermont
south-atlantic,Virginia
west-pacific,Washington
south-atlantic,West Virginia
midwest,Wisconsin
west-mountain,Wyoming
puerto-rico,Puerto Rico